artist_id,name,,
1,AC/DC,AC/DC,"('1','AC/DC'),"
2,Accept,Accept,"('2','Accept'),"
3,Aerosmith,Aerosmith,"('3','Aerosmith'),"
4,Alanis Morissette,Alanis Morissette,"('4','Alanis Morissette'),"
5,Alice In Chains,Alice In Chains,"('5','Alice In Chains'),"
6,Antônio Carlos Jobim,Antônio Carlos Jobim,"('6','Antônio Carlos Jobim'),"
7,Apocalyptica,Apocalyptica,"('7','Apocalyptica'),"
8,Audioslave,Audioslave,"('8','Audioslave'),"
9,BackBeat,BackBeat,"('9','BackBeat'),"
10,Billy Cobham,Billy Cobham,"('10','Billy Cobham'),"
11,Black Label Society,Black Label Society,"('11','Black Label Society'),"
12,Black Sabbath,Black Sabbath,"('12','Black Sabbath'),"
13,Body Count,Body Count,"('13','Body Count'),"
14,Bruce Dickinson,Bruce Dickinson,"('14','Bruce Dickinson'),"
15,Buddy Guy,Buddy Guy,"('15','Buddy Guy'),"
16,Caetano Veloso,Caetano Veloso,"('16','Caetano Veloso'),"
17,Chico Buarque,Chico Buarque,"('17','Chico Buarque'),"
18,Chico Science & Nação Zumbi,Chico Science & Nação Zumbi,"('18','Chico Science & Nação Zumbi'),"
19,Cidade Negra,Cidade Negra,"('19','Cidade Negra'),"
20,Cláudio Zoli,Cláudio Zoli,"('20','Cláudio Zoli'),"
21,Various Artists,Various Artists,"('21','Various Artists'),"
22,Led Zeppelin,Led Zeppelin,"('22','Led Zeppelin'),"
23,Frank Zappa & Captain Beefheart,Frank Zappa & Captain Beefheart,"('23','Frank Zappa & Captain Beefheart'),"
24,Marcos Valle,Marcos Valle,"('24','Marcos Valle'),"
25,Milton Nascimento & Bebeto,Milton Nascimento & Bebeto,"('25','Milton Nascimento & Bebeto'),"
26,Azymuth,Azymuth,"('26','Azymuth'),"
27,Gilberto Gil,Gilberto Gil,"('27','Gilberto Gil'),"
28,João Gilberto,João Gilberto,"('28','João Gilberto'),"
29,Bebel Gilberto,Bebel Gilberto,"('29','Bebel Gilberto'),"
30,Jorge Vercilo,Jorge Vercilo,"('30','Jorge Vercilo'),"
